@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2018/02/28 01:18:07:835',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
2,'2018/02/28 01:18:07:853',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
3,'2018/02/28 01:18:07:862',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
4,'2018/02/28 01:18:07:877',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
5,'2018/02/28 01:18:07:893',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
6,'2018/02/28 01:18:07:911',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
7,'2018/02/28 01:18:07:928',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
8,'2018/02/28 01:18:07:944',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
9,'2018/02/28 01:18:07:962',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
10,'2018/02/28 01:18:07:977',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
11,'2018/02/28 01:18:07:997',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
12,'2018/02/28 01:18:08:010',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
13,'2018/02/28 01:18:08:028',1,42.536652,295.52063,877.765198,0.335,0.021484,0.470959
14,'2018/02/28 01:18:08:061',1,43.704376,298.215759,886.358276,0.335,0.021484,0.470959
15,'2018/02/28 01:18:08:081',1,43.704376,298.215759,886.358276,0.335,0.021484,0.470959
16,'2018/02/28 01:18:08:094',1,43.704376,298.215759,886.358276,0.335,0.021484,0.470959
17,'2018/02/28 01:18:08:127',1,44.804207,301.547729,896.795288,0.335,0.021484,0.470959
18,'2018/02/28 01:18:08:143',1,44.804207,301.547729,896.795288,0.335,0.021484,0.470959
19,'2018/02/28 01:18:08:161',1,44.804207,301.547729,896.795288,0.335,0.021484,0.470959
20,'2018/02/28 01:18:08:194',1,59.137386,394.020752,1176.921753,0.335,0.021484,0.470959
21,'2018/02/28 01:18:08:210',1,59.137386,394.020752,1176.921753,0.335,0.021484,0.470959
22,'2018/02/28 01:18:08:228',1,59.137386,394.020752,1176.921753,0.335,0.021484,0.470959
23,'2018/02/28 01:18:08:244',1,59.137386,394.020752,1176.921753,0.335,0.021484,0.470959
24,'2018/02/28 01:18:08:261',1,59.137386,394.020752,1176.921753,0.335,0.021484,0.470959
25,'2018/02/28 01:18:08:279',1,59.137386,394.020752,1176.921753,0.335,0.021484,0.470959
26,'2018/02/28 01:18:08:311',1,70.417625,476.049957,1425.365112,0.335,0.021484,0.470959
