@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute 1-1 numeric

@data
3120,'2018/02/28 05:38:58:482',10,-645.938416,539.484985,1653.411987,0
3121,'2018/02/28 05:38:58:486',10,-645.938416,539.484985,1653.411987,0
3122,'2018/02/28 05:38:58:512',10,-645.938416,539.484985,1653.411987,0
3123,'2018/02/28 05:38:58:518',10,-645.938416,539.484985,1653.411987,0
3124,'2018/02/28 05:38:58:547',10,-645.938416,539.484985,1653.411987,0
3125,'2018/02/28 05:38:58:552',10,-645.938416,539.484985,1653.411987,0
3126,'2018/02/28 05:38:58:581',10,-645.938416,539.484985,1653.411987,0
3127,'2018/02/28 05:38:58:586',10,-645.938416,539.484985,1653.411987,0
3128,'2018/02/28 05:38:58:615',10,-645.938416,539.484985,1653.411987,0
3129,'2018/02/28 05:38:58:617',10,-645.938416,539.484985,1653.411987,0
3130,'2018/02/28 05:38:58:646',10,-645.938416,539.484985,1653.411987,0
3131,'2018/02/28 05:38:58:655',10,-645.938416,539.484985,1653.411987,0
3132,'2018/02/28 05:38:58:681',10,-645.938416,539.484985,1653.411987,0
3133,'2018/02/28 05:38:58:685',10,-645.938416,539.484985,1653.411987,0
3134,'2018/02/28 05:38:58:714',10,-843.884583,704.021973,2171.86377,0
3135,'2018/02/28 05:38:58:720',10,-843.884583,704.021973,2171.86377,0
3136,'2018/02/28 05:38:58:747',10,-819.56073,684.237854,2113.036133,0
3137,'2018/02/28 05:38:58:754',10,-819.56073,684.237854,2113.036133,0
3138,'2018/02/28 05:38:58:781',10,-797.452332,665.6427,2057.262939,0
3139,'2018/02/28 05:38:58:786',10,-797.452332,665.6427,2057.262939,0
3140,'2018/02/28 05:38:58:819',10,-797.452332,665.6427,2057.262939,0
3141,'2018/02/28 05:38:58:820',10,-797.452332,665.6427,2057.262939,0
3142,'2018/02/28 05:38:58:852',10,-797.452332,665.6427,2057.262939,0
3143,'2018/02/28 05:38:58:853',10,-797.452332,665.6427,2057.262939,0
3144,'2018/02/28 05:38:58:882',10,-797.452332,665.6427,2057.262939,0
3145,'2018/02/28 05:38:58:885',10,-797.452332,665.6427,2057.262939,0
3146,'2018/02/28 05:38:58:915',10,-971.7052,811.336304,2514.802734,0
3147,'2018/02/28 05:38:58:918',10,-971.7052,811.336304,2514.802734,0
3148,'2018/02/28 05:38:58:947',10,-1125.185791,939.904602,2918.22876,0
3149,'2018/02/28 05:38:58:953',10,-1125.185791,939.904602,2918.22876,0
3150,'2018/02/28 05:38:58:980',10,-1125.185791,939.904602,2918.22876,0
3151,'2018/02/28 05:38:58:984',10,-1125.185791,939.904602,2918.22876,0
3152,'2018/02/28 05:38:59:016',10,-1125.185791,939.904602,2918.22876,0
3153,'2018/02/28 05:38:59:018',10,-1125.185791,939.904602,2918.22876,0
3154,'2018/02/28 05:38:59:046',10,-1125.185791,939.904602,2918.22876,0
3155,'2018/02/28 05:38:59:057',10,-1125.185791,939.904602,2918.22876,0
3156,'2018/02/28 05:38:59:079',10,-1125.185791,939.904602,2918.22876,0
3157,'2018/02/28 05:38:59:083',10,-1125.185791,939.904602,2918.22876,0
3158,'2018/02/28 05:38:59:117',10,-1058.911743,883.986694,2747.561768,0
3159,'2018/02/28 05:38:59:120',10,-1058.911743,883.986694,2747.561768,0
3160,'2018/02/28 05:38:59:146',10,-996.647827,832.736023,2587.344727,0
3161,'2018/02/28 05:38:59:153',10,-996.647827,832.736023,2587.344727,0
3162,'2018/02/28 05:38:59:180',10,-996.647827,832.736023,2587.344727,0
3163,'2018/02/28 05:38:59:186',10,-996.647827,832.736023,2587.344727,0
3164,'2018/02/28 05:38:59:217',10,-939.141174,785.516785,2439.467529,0
3165,'2018/02/28 05:38:59:219',10,-939.141174,785.516785,2439.467529,0
3166,'2018/02/28 05:38:59:264',10,-887.014465,742.814514,2305.510986,0
3167,'2018/02/28 05:38:59:282',10,-887.014465,742.814514,2305.510986,0
3168,'2018/02/28 05:38:59:285',10,-887.014465,742.814514,2305.510986,0
3169,'2018/02/28 05:38:59:314',10,-887.014465,742.814514,2305.510986,0
3170,'2018/02/28 05:38:59:321',10,-887.014465,742.814514,2305.510986,0
3171,'2018/02/28 05:38:59:334',10,-887.014465,742.814514,2305.510986,0
3172,'2018/02/28 05:38:59:364',10,-887.014465,742.814514,2305.510986,0
3173,'2018/02/28 05:38:59:369',10,-887.014465,742.814514,2305.510986,0
3174,'2018/02/28 05:38:59:396',10,-887.014465,742.814514,2305.510986,0
3175,'2018/02/28 05:38:59:412',10,-887.014465,742.814514,2305.510986,0
3176,'2018/02/28 05:38:59:417',10,-887.014465,742.814514,2305.510986,0
3177,'2018/02/28 05:38:59:434',10,-887.014465,742.814514,2305.510986,0
3178,'2018/02/28 05:38:59:463',10,-887.014465,742.814514,2305.510986,0
3179,'2018/02/28 05:38:59:469',10,-887.014465,742.814514,2305.510986,0
3180,'2018/02/28 05:38:59:497',10,-887.014465,742.814514,2305.510986,0
3181,'2018/02/28 05:38:59:501',10,-887.014465,742.814514,2305.510986,0
3182,'2018/02/28 05:38:59:531',10,-887.014465,742.814514,2305.510986,0
3183,'2018/02/28 05:38:59:534',10,-887.014465,742.814514,2305.510986,0
3184,'2018/02/28 05:38:59:563',10,-839.492432,704.85144,2186.22583,0
3185,'2018/02/28 05:38:59:571',10,-839.492432,704.85144,2186.22583,0
3186,'2018/02/28 05:38:59:594',10,-839.492432,704.85144,2186.22583,0
3187,'2018/02/28 05:38:59:602',10,-839.492432,704.85144,2186.22583,0
3188,'2018/02/28 05:38:59:626',10,-797.697937,671.528992,2081.356934,0
3189,'2018/02/28 05:38:59:636',10,-797.697937,671.528992,2081.356934,0
3190,'2018/02/28 05:38:59:652',10,-797.697937,671.528992,2081.356934,0
3191,'2018/02/28 05:38:59:681',10,-762.783142,642.90332,1991.112305,0
3192,'2018/02/28 05:38:59:686',10,-762.783142,642.90332,1991.112305,0
3193,'2018/02/28 05:38:59:713',10,-762.783142,642.90332,1991.112305,0
3194,'2018/02/28 05:38:59:718',10,-762.783142,642.90332,1991.112305,0
3195,'2018/02/28 05:38:59:745',10,-732.354736,617.806396,1915.234375,0
3196,'2018/02/28 05:38:59:752',10,-732.354736,617.806396,1915.234375,0
3197,'2018/02/28 05:38:59:781',10,-707.727966,597.702759,1851.187256,0
3198,'2018/02/28 05:38:59:784',10,-707.727966,597.702759,1851.187256,0
3199,'2018/02/28 05:38:59:817',10,-687.51593,581.234741,1798.549194,0
3200,'2018/02/28 05:38:59:818',10,-687.51593,581.234741,1798.549194,0
3201,'2018/02/28 05:38:59:846',10,-687.51593,581.234741,1798.549194,0
3202,'2018/02/28 05:38:59:852',10,-687.51593,581.234741,1798.549194,0
3203,'2018/02/28 05:38:59:880',10,-687.51593,581.234741,1798.549194,0
3204,'2018/02/28 05:38:59:885',10,-687.51593,581.234741,1798.549194,0
3205,'2018/02/28 05:38:59:914',10,-670.49707,568.284363,1756.963257,0
3206,'2018/02/28 05:38:59:918',10,-670.49707,568.284363,1756.963257,0
3207,'2018/02/28 05:38:59:947',10,-656.805237,557.94104,1723.622681,0
3208,'2018/02/28 05:38:59:953',10,-656.805237,557.94104,1723.622681,0
3209,'2018/02/28 05:38:59:983',10,-656.805237,557.94104,1723.622681,0
3210,'2018/02/28 05:38:59:985',10,-656.805237,557.94104,1723.622681,0
3211,'2018/02/28 05:39:00:019',10,-656.805237,557.94104,1723.622681,0
3212,'2018/02/28 05:39:00:020',10,-656.805237,557.94104,1723.622681,0
3213,'2018/02/28 05:39:00:036',10,-656.805237,557.94104,1723.622681,0
3214,'2018/02/28 05:39:00:060',10,-656.805237,557.94104,1723.622681,0
3215,'2018/02/28 05:39:00:069',10,-656.805237,557.94104,1723.622681,0
3216,'2018/02/28 05:39:00:084',10,-656.805237,557.94104,1723.622681,0
3217,'2018/02/28 05:39:00:115',10,-835.642029,709.366333,2196.44873,0
3218,'2018/02/28 05:39:00:119',10,-835.642029,709.366333,2196.44873,0
3219,'2018/02/28 05:39:00:146',10,-835.642029,709.366333,2196.44873,0
3220,'2018/02/28 05:39:00:153',10,-835.642029,709.366333,2196.44873,0
3221,'2018/02/28 05:39:00:180',10,-835.642029,709.366333,2196.44873,0
3222,'2018/02/28 05:39:00:184',10,-835.642029,709.366333,2196.44873,0
3223,'2018/02/28 05:39:00:214',10,-835.642029,709.366333,2196.44873,0
3224,'2018/02/28 05:39:00:217',10,-835.642029,709.366333,2196.44873,0
3225,'2018/02/28 05:39:00:246',10,-804.132996,683.696716,2115.325195,0
3226,'2018/02/28 05:39:00:254',10,-804.132996,683.696716,2115.325195,0
3227,'2018/02/28 05:39:00:280',10,-804.132996,683.696716,2115.325195,0
3228,'2018/02/28 05:39:00:287',10,-804.132996,683.696716,2115.325195,0
3229,'2018/02/28 05:39:00:315',10,-804.132996,683.696716,2115.325195,0
3230,'2018/02/28 05:39:00:320',10,-804.132996,683.696716,2115.325195,0
3231,'2018/02/28 05:39:00:348',10,-804.132996,683.696716,2115.325195,0
3232,'2018/02/28 05:39:00:352',10,-804.132996,683.696716,2115.325195,0
3233,'2018/02/28 05:39:00:380',10,-971.574219,825.258118,2557.356201,0
3234,'2018/02/28 05:39:00:386',10,-971.574219,825.258118,2557.356201,0
3235,'2018/02/28 05:39:00:417',10,-1115.664673,947.027649,2937.604736,0
3236,'2018/02/28 05:39:00:420',10,-1115.664673,947.027649,2937.604736,0
3237,'2018/02/28 05:39:00:450',10,-1115.664673,947.027649,2937.604736,0
3238,'2018/02/28 05:39:00:453',10,-1115.664673,947.027649,2937.604736,0
3239,'2018/02/28 05:39:00:482',10,-1045.126953,888.114319,2752.771729,0
3240,'2018/02/28 05:39:00:485',10,-1045.126953,888.114319,2752.771729,0
3241,'2018/02/28 05:39:00:514',10,-1045.126953,888.114319,2752.771729,0
3242,'2018/02/28 05:39:00:518',10,-1045.126953,888.114319,2752.771729,0
3243,'2018/02/28 05:39:00:548',10,-1178.037109,1000.273499,3103.063232,0
3244,'2018/02/28 05:39:00:551',10,-1178.037109,1000.273499,3103.063232,0
3245,'2018/02/28 05:39:00:579',10,-1093.261597,929.179993,2880.310791,0
3246,'2018/02/28 05:39:00:585',10,-1093.261597,929.179993,2880.310791,0
3247,'2018/02/28 05:39:00:613',10,-1015.757629,864.128723,2676.523438,0
3248,'2018/02/28 05:39:00:617',10,-1015.757629,864.128723,2676.523438,0
3249,'2018/02/28 05:39:00:646',10,-945.954956,805.492554,2492.865967,0
3250,'2018/02/28 05:39:00:650',10,-945.954956,805.492554,2492.865967,0
3251,'2018/02/28 05:39:00:682',10,-884.047424,753.446228,2329.878174,0
3252,'2018/02/28 05:39:00:686',10,-884.047424,753.446228,2329.878174,0
3253,'2018/02/28 05:39:00:713',10,-884.047424,753.446228,2329.878174,0
3254,'2018/02/28 05:39:00:719',10,-884.047424,753.446228,2329.878174,0
3255,'2018/02/28 05:39:00:750',10,-830.133667,708.085205,2187.845459,0
3256,'2018/02/28 05:39:00:753',10,-830.133667,708.085205,2187.845459,0
3257,'2018/02/28 05:39:00:770',10,-830.133667,708.085205,2187.845459,0
3258,'2018/02/28 05:39:00:796',10,-830.133667,708.085205,2187.845459,0
3259,'2018/02/28 05:39:00:803',10,-830.133667,708.085205,2187.845459,0
3260,'2018/02/28 05:39:00:827',10,-830.133667,708.085205,2187.845459,0
3261,'2018/02/28 05:39:00:837',10,-830.133667,708.085205,2187.845459,0
3262,'2018/02/28 05:39:00:851',10,-830.133667,708.085205,2187.845459,0
3263,'2018/02/28 05:39:00:881',10,-783.805359,669.073547,2065.716064,0
3264,'2018/02/28 05:39:00:885',10,-783.805359,669.073547,2065.716064,0
3265,'2018/02/28 05:39:00:915',10,-783.805359,669.073547,2065.716064,0
3266,'2018/02/28 05:39:00:918',10,-783.805359,669.073547,2065.716064,0
3267,'2018/02/28 05:39:00:946',10,-948.477783,807.600037,2498.794189,0
3268,'2018/02/28 05:39:00:951',10,-948.477783,807.600037,2498.794189,0
3269,'2018/02/28 05:39:00:981',10,-948.477783,807.600037,2498.794189,0
3270,'2018/02/28 05:39:00:985',10,-948.477783,807.600037,2498.794189,0
3271,'2018/02/28 05:39:01:015',10,-948.477783,807.600037,2498.794189,0
3272,'2018/02/28 05:39:01:018',10,-948.477783,807.600037,2498.794189,0
3273,'2018/02/28 05:39:01:046',10,-948.477783,807.600037,2498.794189,0
3274,'2018/02/28 05:39:01:051',10,-948.477783,807.600037,2498.794189,0
3275,'2018/02/28 05:39:01:081',10,-948.477783,807.600037,2498.794189,0
3276,'2018/02/28 05:39:01:085',10,-948.477783,807.600037,2498.794189,0
3277,'2018/02/28 05:39:01:113',10,-889.661377,758.031311,2343.740723,0
3278,'2018/02/28 05:39:01:120',10,-889.661377,758.031311,2343.740723,0
3279,'2018/02/28 05:39:01:149',10,-889.661377,758.031311,2343.740723,0
3280,'2018/02/28 05:39:01:153',10,-889.661377,758.031311,2343.740723,0
3281,'2018/02/28 05:39:01:183',10,-1036.376343,881.385803,2729.530762,0
3282,'2018/02/28 05:39:01:186',10,-1036.376343,881.385803,2729.530762,0
3283,'2018/02/28 05:39:01:219',10,-966.091797,822.151062,2544.288818,0
3284,'2018/02/28 05:39:01:221',10,-966.091797,822.151062,2544.288818,0
3285,'2018/02/28 05:39:01:248',10,-903.206604,769.139709,2378.526611,0
3286,'2018/02/28 05:39:01:253',10,-903.206604,769.139709,2378.526611,0
3287,'2018/02/28 05:39:01:281',10,-846.663757,722.369873,2232.299561,0
3288,'2018/02/28 05:39:01:285',10,-846.663757,722.369873,2232.299561,0
3289,'2018/02/28 05:39:01:314',10,-798.855591,681.934082,2105.883301,0
3290,'2018/02/28 05:39:01:318',10,-798.855591,681.934082,2105.883301,0
3291,'2018/02/28 05:39:01:345',10,-798.855591,681.934082,2105.883301,0
3292,'2018/02/28 05:39:01:351',10,-798.855591,681.934082,2105.883301,0
3293,'2018/02/28 05:39:01:380',10,-798.855591,681.934082,2105.883301,0
3294,'2018/02/28 05:39:01:384',10,-798.855591,681.934082,2105.883301,0
3295,'2018/02/28 05:39:01:420',10,-798.855591,681.934082,2105.883301,0
3296,'2018/02/28 05:39:01:421',10,-798.855591,681.934082,2105.883301,0
3297,'2018/02/28 05:39:01:446',10,-798.855591,681.934082,2105.883301,0
3298,'2018/02/28 05:39:01:457',10,-798.855591,681.934082,2105.883301,0
3299,'2018/02/28 05:39:01:480',10,-756.856567,647.29834,1997.617798,0
3300,'2018/02/28 05:39:01:485',10,-756.856567,647.29834,1997.617798,0
3301,'2018/02/28 05:39:01:514',10,-913.732117,781.039185,2416.035645,0
3302,'2018/02/28 05:39:01:518',10,-913.732117,781.039185,2416.035645,0
3303,'2018/02/28 05:39:01:550',10,-860.138611,736.30188,2276.168701,0
3304,'2018/02/28 05:39:01:554',10,-860.138611,736.30188,2276.168701,0
3305,'2018/02/28 05:39:01:580',10,-813.213928,697.095703,2153.59082,0
3306,'2018/02/28 05:39:01:586',10,-813.213928,697.095703,2153.59082,0
