@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute 1-1 numeric

@data
1,'2018/02/28 04:52:45:134',1,-659.372192,416.347748,1304.976318,?
2,'2018/02/28 04:52:45:149',1,-659.372192,416.347748,1304.976318,?
3,'2018/02/28 04:52:45:151',1,-659.372192,416.347748,1304.976318,?
4,'2018/02/28 04:52:45:182',1,-659.372192,416.347748,1304.976318,?
5,'2018/02/28 04:52:45:185',1,-659.372192,416.347748,1304.976318,?
6,'2018/02/28 04:52:45:212',1,-658.402527,415.964142,1303.710815,?
7,'2018/02/28 04:52:45:218',1,-658.402527,415.964142,1303.710815,?
8,'2018/02/28 04:52:45:234',1,-658.402527,415.964142,1303.710815,?
9,'2018/02/28 04:52:45:261',1,-658.402527,415.964142,1303.710815,?
10,'2018/02/28 04:52:45:267',1,-658.402527,415.964142,1303.710815,?
11,'2018/02/28 04:52:45:283',1,-658.402527,415.964142,1303.710815,?
12,'2018/02/28 04:52:45:313',1,-657.19873,415.423584,1301.966919,?
13,'2018/02/28 04:52:45:318',1,-657.19873,415.423584,1301.966919,?
14,'2018/02/28 04:52:45:334',1,-657.19873,415.423584,1301.966919,?
15,'2018/02/28 04:52:45:365',1,-656.649719,415.285492,1301.496216,?
16,'2018/02/28 04:52:45:367',1,-656.649719,415.285492,1301.496216,?
17,'2018/02/28 04:52:45:397',1,-656.649719,415.285492,1301.496216,?
18,'2018/02/28 04:52:45:401',1,-656.649719,415.285492,1301.496216,?
19,'2018/02/28 04:52:45:433',1,-655.906555,415.008484,1300.600586,?
20,'2018/02/28 04:52:45:435',1,-655.906555,415.008484,1300.600586,?
21,'2018/02/28 04:52:45:467',1,-655.459045,414.901337,1300.246094,?
22,'2018/02/28 04:52:45:468',1,-655.459045,414.901337,1300.246094,?
23,'2018/02/28 04:52:45:499',1,-655.638977,414.66745,1299.501587,?
24,'2018/02/28 04:52:45:500',1,-655.638977,414.66745,1299.501587,?
25,'2018/02/28 04:52:45:531',1,-655.205139,414.596222,1299.272827,?
26,'2018/02/28 04:52:45:534',1,-655.205139,414.596222,1299.272827,?
27,'2018/02/28 04:52:45:552',1,-655.205139,414.596222,1299.272827,?
28,'2018/02/28 04:52:45:567',1,-655.205139,414.596222,1299.272827,?
29,'2018/02/28 04:52:45:585',1,-655.205139,414.596222,1299.272827,?
30,'2018/02/28 04:52:45:616',1,-655.015259,414.658966,1299.46875,?
31,'2018/02/28 04:52:45:618',1,-655.015259,414.658966,1299.46875,?
32,'2018/02/28 04:52:45:634',1,-655.015259,414.658966,1299.46875,?
33,'2018/02/28 04:52:45:665',1,-655.015259,414.658966,1299.46875,?
34,'2018/02/28 04:52:45:680',1,-655.015259,414.658966,1299.46875,?
35,'2018/02/28 04:52:45:683',1,-655.015259,414.658966,1299.46875,?
